FLIGHT_NUMBER,ORIGHIN,DEST,DATE,DEP_TIME,ARR_TIME,STOPS,ORIGHIN,DAYS_OF_OP,EFF_FROM,EFF_TO,TRANSIT_TIME,DISTANCE,ON_TIME
EI 8817 *,LHR,JFK,09/04/19,08:25,11:05,0,777,12-45--,27/03/19,25/10/19,07:40,5559 Km,-
AA 6138 *,LHR,JFK,09/04/19,08:25,11:05,0,744,12-45--,08/04/19,25/10/19,07:40,5559 Km,-
BA 117,LHR,JFK,09/04/19,08:25,11:05,0,744,12-45--,27/03/19,25/10/19,07:40,5559 Km,-
AY 5517 *,LHR,JFK,09/04/19,08:25,11:05,0,744,12-45--,08/04/19,25/10/19,07:40,5559 Km,-
IB 7355 *,LHR,JFK,09/04/19,08:25,11:05,0,744,12-45--,27/03/19,25/10/19,07:40,5559 Km,-
AF 6752 *,LHR,JFK,09/04/19,09:00,11:55,0,333,1234567,27/03/19,20/04/19,07:55,5559 Km,-
DL 4370 *,LHR,JFK,09/04/19,09:00,11:55,0,333,1234567,27/03/19,15/04/19,07:55,5559 Km,-
9W 5808 *,LHR,JFK,09/04/19,09:00,11:55,0,333,1234567,27/03/19,20/04/19,07:55,5559 Km,-
KL 4820 *,LHR,JFK,09/04/19,09:00,11:55,0,333,1234567,27/03/19,20/04/19,07:55,5559 Km,-
SQ 2503 *,LHR,JFK,09/04/19,09:00,11:55,0,333,1234567,27/03/19,20/04/19,07:55,5559 Km,-
VS 003,LHR,JFK,09/04/19,09:00,11:55,0,333,1234567,27/03/19,15/04/19,07:55,5559 Km,-
EI 8875 *,LHR,JFK,09/04/19,09:35,12:25,0,777,1234567,27/03/19,26/10/19,07:50,5559 Km,-
AA 6140 *,LHR,JFK,09/04/19,09:35,12:25,0,744,12-4567,27/03/19,07/05/19,07:50,5559 Km,-
BA 175,LHR,JFK,09/04/19,09:35,12:25,0,744,12-456-,27/03/19,13/04/19,07:50,5559 Km,-
AY 5475 *,LHR,JFK,09/04/19,09:35,12:25,0,744,12-4567,27/03/19,07/05/19,07:50,5559 Km,-
IB 7374 *,LHR,JFK,09/04/19,09:35,12:25,0,744,12-4567,27/03/19,07/05/19,07:50,5559 Km,-
AA 101,LHR,JFK,09/04/19,09:45,12:45,0,772,1234567,27/03/19,02/05/19,08:00,5559 Km,-
BA 1516 *,LHR,JFK,09/04/19,09:45,12:45,0,772,1234567,27/03/19,02/05/19,08:00,5559 Km,-
LY 8066 *,LHR,JFK,09/04/19,09:45,12:45,0,772,1234567,27/03/19,02/05/19,08:00,5559 Km,-
AY 4011 *,LHR,JFK,09/04/19,09:45,12:45,0,772,1234567,27/03/19,02/05/19,08:00,5559 Km,-
IB 4219 *,LHR,JFK,09/04/19,09:45,12:45,0,772,1234567,27/03/19,02/05/19,08:00,5559 Km,-
AF 3666 *,LHR,JFK,09/04/19,10:30,13:30,0,332,1234567,27/03/19,01/05/19,08:00,5559 Km,-
DL 2,LHR,JFK,09/04/19,10:30,13:30,0,332,1234567,27/03/19,01/05/19,08:00,5559 Km,-
9W 8076 *,LHR,JFK,09/04/19,10:30,13:30,0,332,1234567,27/03/19,01/05/19,08:00,5559 Km,-
KL 6102 *,LHR,JFK,09/04/19,10:30,13:30,0,332,1234567,27/03/19,01/05/19,08:00,5559 Km,-
VS 4031 *,LHR,JFK,09/04/19,10:30,13:30,0,332,1234567,27/03/19,01/05/19,08:00,5559 Km,-
EI 8873 *,LHR,JFK,09/04/19,11:20,14:05,0,777,1234567,27/03/19,26/10/19,07:45,5559 Km,-
AA 6214 *,LHR,JFK,09/04/19,11:20,14:05,0,777,-2--56-,27/03/19,04/05/19,07:45,5559 Km,-
BA 173,LHR,JFK,09/04/19,11:20,14:05,0,777,-2--56-,27/03/19,04/05/19,07:45,5559 Km,-
AY 5473 *,LHR,JFK,09/04/19,11:20,14:05,0,777,-2--56-,27/03/19,04/05/19,07:45,5559 Km,-
IB 7372 *,LHR,JFK,09/04/19,11:20,14:05,0,777,-2--56-,27/03/19,04/05/19,07:45,5559 Km,-
AF 9916 *,LHR,JFK,09/04/19,11:50,14:50,0,346,12-45--,27/03/19,16/04/19,08:00,5559 Km,-
DL 4413 *,LHR,JFK,09/04/19,11:50,14:50,0,346,12-45--,08/04/19,16/04/19,08:00,5559 Km,-
9W 5810 *,LHR,JFK,09/04/19,11:50,14:50,0,346,12-45--,08/04/19,16/04/19,08:00,5559 Km,-
KL 4821 *,LHR,JFK,09/04/19,11:50,14:50,0,346,12-45--,27/03/19,16/04/19,08:00,5559 Km,-
SQ 2587 *,LHR,JFK,09/04/19,11:50,14:50,0,346,12-45--,27/03/19,16/04/19,08:00,5559 Km,-
VS 137,LHR,JFK,09/04/19,11:50,14:50,0,346,12-45--,27/03/19,16/04/19,08:00,5559 Km,-
EI 8877 *,LHR,JFK,09/04/19,13:10,16:00,0,777,1234567,27/03/19,26/10/19,07:50,5559 Km,-
AA 6142 *,LHR,JFK,09/04/19,13:10,16:00,0,744,1234567,27/03/19,26/10/19,07:50,5559 Km,-
BA 177,LHR,JFK,09/04/19,13:10,16:00,0,744,12--56-,27/03/19,13/04/19,07:50,5559 Km,-
AY 5477 *,LHR,JFK,09/04/19,13:10,16:00,0,744,1234567,27/03/19,26/10/19,07:50,5559 Km,-
IB 7376 *,LHR,JFK,09/04/19,13:10,16:00,0,744,1234567,27/03/19,26/10/19,07:50,5559 Km,-
AF 9923 *,LHR,JFK,09/04/19,13:30,16:25,0,346,1234-67,27/03/19,27/04/19,07:55,5559 Km,-
DL 4358 *,LHR,JFK,09/04/19,13:30,16:25,0,346,1234-67,27/03/19,27/04/19,07:55,5559 Km,-
9W 5832 *,LHR,JFK,09/04/19,13:30,16:25,0,346,1234-67,27/03/19,27/04/19,07:55,5559 Km,-
KL 4823 *,LHR,JFK,09/04/19,13:30,16:25,0,346,1234-67,27/03/19,27/04/19,07:55,5559 Km,-
SQ 2533 *,LHR,JFK,09/04/19,13:30,16:25,0,346,1234-67,27/03/19,27/04/19,07:55,5559 Km,-
VS 153,LHR,JFK,09/04/19,13:30,16:25,0,346,1234-67,07/04/19,27/04/19,07:55,5559 Km,-
AA 105,LHR,JFK,09/04/19,14:05,17:05,0,77W,1234567,27/03/19,05/06/19,08:00,5559 Km,-
BA 1506 *,LHR,JFK,09/04/19,14:05,17:05,0,77W,1234567,27/03/19,05/06/19,08:00,5559 Km,-
LY 8054 *,LHR,JFK,09/04/19,14:05,17:05,0,77W,1234567,27/03/19,05/06/19,08:00,5559 Km,-
AY 4015 *,LHR,JFK,09/04/19,14:05,17:05,0,77W,1234567,27/03/19,05/06/19,08:00,5559 Km,-
IB 4221 *,LHR,JFK,09/04/19,14:05,17:05,0,77W,1234567,27/03/19,05/06/19,08:00,5559 Km,-
EI 8815 *,LHR,JFK,09/04/19,14:25,17:20,0,777,123----,08/04/19,27/05/19,07:55,5559 Km,-
AA 6136 *,LHR,JFK,09/04/19,14:25,17:20,0,777,-2-----,09/04/19,16/04/19,07:55,5559 Km,-
BA 115,LHR,JFK,09/04/19,14:25,17:20,0,777,-2-----,09/04/19,16/04/19,07:55,5559 Km,-
AY 5515 *,LHR,JFK,09/04/19,14:25,17:20,0,777,-2-----,09/04/19,16/04/19,07:55,5559 Km,-
IB 7353 *,LHR,JFK,09/04/19,14:25,17:20,0,777,-2-----,09/04/19,16/04/19,07:55,5559 Km,-
AF 9663 *,LHR,JFK,09/04/19,14:30,17:25,0,333,1234567,27/03/19,13/04/19,07:55,5559 Km,-
DL 4372 *,LHR,JFK,09/04/19,14:30,17:25,0,333,1234567,27/03/19,13/04/19,07:55,5559 Km,-
9W 5812 *,LHR,JFK,09/04/19,14:30,17:25,0,333,1234567,27/03/19,13/04/19,07:55,5559 Km,-
VS 045,LHR,JFK,09/04/19,14:30,17:25,0,333,1234567,27/03/19,13/04/19,07:55,5559 Km,-
AF 6758 *,LHR,JFK,09/04/19,15:45,18:45,0,333,123456-,27/03/19,13/04/19,08:00,5559 Km,-
DL 4374 *,LHR,JFK,09/04/19,15:45,18:45,0,333,123456-,27/03/19,13/04/19,08:00,5559 Km,-
9W 5814 *,LHR,JFK,09/04/19,15:45,18:45,0,333,123456-,27/03/19,13/04/19,08:00,5559 Km,-
KL 4822 *,LHR,JFK,09/04/19,15:45,18:45,0,333,123456-,27/03/19,13/04/19,08:00,5559 Km,-
SQ 2509 *,LHR,JFK,09/04/19,15:45,18:45,0,333,123456-,27/03/19,13/04/19,08:00,5559 Km,-
VS 009,LHR,JFK,09/04/19,15:45,18:45,0,333,123456-,27/03/19,13/04/19,08:00,5559 Km,-
EI 8813 *,LHR,JFK,09/04/19,16:15,19:15,0,744,1234567,27/03/19,16/04/19,08:00,5559 Km,-
AA 6134 *,LHR,JFK,09/04/19,16:15,19:15,0,777,12-4-67,27/03/19,18/04/19,08:00,5559 Km,-
BA 113,LHR,JFK,09/04/19,16:15,19:15,0,777,-2-----,09/04/19,22/10/19,08:00,5559 Km,-
AY 5513 *,LHR,JFK,09/04/19,16:15,19:15,0,777,12-4-67,27/03/19,18/04/19,08:00,5559 Km,-
IB 7351 *,LHR,JFK,09/04/19,16:15,19:15,0,777,12-4-67,27/03/19,18/04/19,08:00,5559 Km,-
AA 107,LHR,JFK,09/04/19,17:00,20:00,0,77W,1234567,27/03/19,02/05/19,08:00,5559 Km,-
BA 1510 *,LHR,JFK,09/04/19,17:00,20:00,0,77W,1234567,27/03/19,02/05/19,08:00,5559 Km,-
LY 8055 *,LHR,JFK,09/04/19,17:00,20:00,0,77W,1234567,27/03/19,02/05/19,08:00,5559 Km,-
AY 4017 *,LHR,JFK,09/04/19,17:00,20:00,0,77W,1234567,27/03/19,02/05/19,08:00,5559 Km,-
IB 4223 *,LHR,JFK,09/04/19,17:00,20:00,0,77W,1234567,27/03/19,02/05/19,08:00,5559 Km,-
AF 3600 *,LHR,JFK,09/04/19,17:30,20:32,0,332,1234567,27/03/19,30/04/19,08:02,5559 Km,-
DL 4,LHR,JFK,09/04/19,17:30,20:32,0,332,1234567,27/03/19,30/04/19,08:02,5559 Km,-
9W 7774 *,LHR,JFK,09/04/19,17:30,20:32,0,332,1234567,27/03/19,30/04/19,08:02,5559 Km,-
KL 6006 *,LHR,JFK,09/04/19,17:30,20:32,0,332,1234567,27/03/19,30/04/19,08:02,5559 Km,-
VS 4029 *,LHR,JFK,09/04/19,17:30,20:32,0,332,1234567,27/03/19,30/04/19,08:02,5559 Km,-
EI 8879 *,LHR,JFK,09/04/19,18:05,21:00,0,777,1234567,27/03/19,26/10/19,07:55,5559 Km,-
AA 6144 *,LHR,JFK,09/04/19,18:05,21:00,0,744,-2----7,07/04/19,14/04/19,07:55,5559 Km,-
BA 179,LHR,JFK,09/04/19,18:05,21:00,0,744,-2----7,07/04/19,14/04/19,07:55,5559 Km,-
AY 5479 *,LHR,JFK,09/04/19,18:05,21:00,0,744,-2----7,07/04/19,14/04/19,07:55,5559 Km,-
IB 7378 *,LHR,JFK,09/04/19,18:05,21:00,0,744,-2----7,07/04/19,14/04/19,07:55,5559 Km,-
AA 141,LHR,JFK,09/04/19,19:30,22:30,0,772,1234567,27/03/19,06/07/19,08:00,5559 Km,-
BA 1593 *,LHR,JFK,09/04/19,19:30,22:30,0,772,1234567,27/03/19,06/07/19,08:00,5559 Km,-
LY 8009 *,LHR,JFK,09/04/19,19:30,22:30,0,772,1234567,27/03/19,06/07/19,08:00,5559 Km,-
AY 4030 *,LHR,JFK,09/04/19,19:30,22:30,0,772,1234567,27/03/19,06/07/19,08:00,5559 Km,-
IB 4613 *,LHR,JFK,09/04/19,19:30,22:30,0,772,1234567,27/03/19,06/07/19,08:00,5559 Km,-
EI 8883 *,LHR,JFK,09/04/19,19:50,22:35,0,744,1234567,27/03/19,26/10/19,07:45,5559 Km,-
AA 6146 *,LHR,JFK,09/04/19,19:50,22:35,0,744,1234567,27/03/19,26/10/19,07:45,5559 Km,-
BA 183,LHR,JFK,09/04/19,19:50,22:35,0,744,1234567,27/03/19,26/10/19,07:45,5559 Km,-
AY 5483 *,LHR,JFK,09/04/19,19:50,22:35,0,744,1234567,27/03/19,26/10/19,07:45,5559 Km,-
IB 7380 *,LHR,JFK,09/04/19,19:50,22:35,0,744,1234567,27/03/19,26/10/19,07:45,5559 Km,-
AF 9655 *,LHR,JFK,09/04/19,20:15,23:10,0,346,1234567,27/03/19,26/10/19,07:55,5559 Km,-
DL 4376 *,LHR,JFK,09/04/19,20:15,23:10,0,346,1234567,27/03/19,15/04/19,07:55,5559 Km,-
